class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
biologist,biologist_sample_injector,projectile,90.99,142.61,260.11,1007.30,2031.37,5735.00,201.86,448.13,1283.53
biologist,biologist_symbiote_seed,aoe,32.59,147.13,466.24,364.43,1820.31,6345.30,56.66,227.68,659.82
robot,robot_magnetic_anchor,aoe,34.75,170.22,723.66,434.04,2441.20,8899.84,42.39,251.21,1250.84
robot,robot_hydraulic_press,beam,38.87,123.53,467.86,573.21,1643.92,6979.46,90.88,235.33,877.92
robot,robot_reactor_core,projectile,18.43,89.89,281.04,765.41,2993.50,9372.49,75.06,284.30,916.65
engineer,engineer_sentry_wrench,summon,55.09,83.24,103.12,4207.98,5181.37,5862.50,246.72,420.67,571.77
engineer,engineer_repair_drone,summon,48.12,277.53,384.70,801.53,3114.53,4956.61,121.61,578.50,728.79
engineer,engineer_pressure_mines,aoe,0.00,11.38,609.06,72.66,1188.39,17766.31,0.00,326.19,3524.04
dark_mage,dark_book,projectile,81.49,457.59,1174.76,1087.24,5966.85,18390.05,256.68,1623.35,5491.37
dark_mage,cursed_skull,aoe,41.81,188.03,313.51,405.29,1787.11,2684.21,59.99,269.14,448.43
dark_mage,dark_wand,projectile,32.73,118.63,219.12,763.79,3960.75,9333.19,90.00,488.83,894.94
guitarist,electric_guitar,aura,113.16,120.71,536.95,718.50,2158.56,6036.75,236.75,460.46,1394.15
guitarist,bass_guitar,aura,32.95,193.59,999.21,386.76,2532.57,12069.09,54.68,288.66,1537.71
guitarist,sound_amp,summon,68.30,369.71,1666.01,387.56,2428.81,12805.95,121.45,687.80,3875.02
assassin,chakrams,beam,48.21,99.98,194.22,1415.72,1381.02,3336.77,144.97,149.75,532.45
assassin,shadow_daggers,melee,66.45,210.76,197.19,1049.60,3149.74,3325.46,119.75,295.48,311.21
assassin,venom_wire,beam,50.62,63.54,95.49,1273.36,1637.93,2227.98,180.11,276.82,335.68
ranger,moon_crossbow,projectile,73.11,353.70,377.86,979.30,4699.10,5642.68,261.22,1291.18,1292.54
ranger,storm_longbow,projectile,67.98,68.11,216.92,1117.55,1061.23,4987.33,126.56,126.51,393.10
ranger,hunter_trap,aoe,31.03,63.10,270.77,466.18,1871.26,6396.16,64.93,131.04,524.41
doctor,restore_potion,projectile,72.03,148.93,485.05,801.03,2039.58,7837.61,143.47,390.78,1673.72
doctor,plague_syringe,projectile,50.99,44.73,44.64,824.54,761.18,762.74,91.23,91.07,99.27
doctor,bone_saw,melee,70.85,176.19,872.52,1246.13,2975.09,11610.71,116.00,308.29,1668.12
chemist,blast_powder,projectile,61.35,352.99,589.30,1263.61,8409.56,12881.35,135.33,845.57,1488.22
chemist,acid_flask,projectile,22.98,209.46,637.04,513.29,2472.28,8737.40,62.16,500.53,1677.53
chemist,homunculus_vial,summon,35.24,68.31,168.12,476.53,2373.47,8831.73,52.34,259.17,866.52
knight,long_spear,melee,39.95,39.96,169.95,597.61,1144.08,3534.40,57.00,121.26,382.04
knight,tower_shield,melee,48.98,53.48,242.05,855.34,920.31,5625.47,149.26,243.73,1618.25
knight,holy_flail,melee,31.78,282.97,1498.18,355.04,2917.34,16111.24,42.04,357.59,1884.60
druid,summon_amulet,summon,68.96,75.30,190.80,1341.59,7854.29,13135.08,49.94,344.90,481.92
druid,briar_staff,projectile,23.09,93.72,390.31,431.03,1727.45,8023.79,48.84,189.65,882.85
druid,raven_totem,summon,50.55,193.21,375.92,334.94,1348.25,2582.70,213.01,812.67,1516.31
