class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
priest,priest_chime,aoe,37.56,188.07,901.32,494.68,2585.69,13600.75,55.04,324.52,1447.17
biologist,biologist_spore_lens,aoe,78.32,345.77,1080.82,696.05,3754.58,10196.13,323.66,1456.09,3723.33
biologist,biologist_sample_injector,projectile,81.17,121.84,261.77,1011.48,1979.63,5627.74,209.37,420.17,1293.66
biologist,biologist_symbiote_seed,aoe,32.65,147.24,475.96,414.05,1840.13,6390.31,56.65,243.67,663.92
robot,robot_magnetic_anchor,aoe,33.30,166.28,850.98,415.69,2036.82,14807.43,79.92,430.62,2058.69
robot,robot_hydraulic_press,beam,45.35,158.81,547.59,839.38,2985.63,9472.53,86.55,273.64,1025.02
robot,robot_reactor_core,projectile,18.39,89.33,279.67,1026.92,4209.24,11573.52,75.22,285.20,840.53
engineer,engineer_sentry_wrench,summon,56.01,83.36,102.04,2463.13,2934.49,3913.41,242.29,405.91,557.26
engineer,engineer_repair_drone,summon,41.39,263.36,429.77,554.43,3089.98,4504.51,82.66,496.83,769.77
engineer,engineer_pressure_mines,aoe,0.00,116.08,565.21,159.33,30.09,17485.01,0.00,103.10,3279.71
dark_mage,dark_book,projectile,97.16,513.12,1417.83,1344.12,6568.13,21469.14,272.24,1655.98,6030.72
dark_mage,cursed_skull,aoe,41.82,187.83,313.11,404.23,1784.81,2684.52,59.86,268.59,448.26
dark_mage,dark_wand,projectile,35.39,155.37,289.56,833.74,5388.48,10475.13,105.86,554.82,1065.34
guitarist,electric_guitar,aura,73.23,77.54,315.93,383.32,1207.17,3836.22,131.80,265.72,738.53
guitarist,bass_guitar,aura,20.39,123.32,666.19,247.57,1466.61,7210.87,34.97,224.40,1031.56
guitarist,sound_amp,summon,46.21,265.91,1126.28,249.75,1739.37,7806.25,100.25,562.49,2339.65
assassin,chakrams,beam,53.67,94.62,201.52,1482.10,1404.99,3534.09,146.84,151.39,556.09
assassin,shadow_daggers,melee,64.39,185.62,204.61,865.68,1986.80,2724.48,104.45,385.56,264.01
assassin,venom_wire,beam,57.94,53.13,56.26,1497.09,1748.79,1536.94,222.65,192.28,190.94
ranger,moon_crossbow,projectile,67.01,301.52,393.41,900.54,4767.20,4221.89,147.18,887.83,724.06
ranger,storm_longbow,projectile,62.23,62.06,218.99,1718.84,1642.64,7155.86,134.83,116.37,418.43
ranger,hunter_trap,aoe,29.14,59.99,257.04,514.38,1927.82,5953.29,65.57,138.17,498.23
doctor,restore_potion,projectile,65.13,157.32,518.59,802.35,2105.02,8377.58,143.58,465.13,1674.05
doctor,plague_syringe,projectile,44.70,44.64,51.00,954.99,955.12,826.75,99.39,91.00,99.50
doctor,bone_saw,melee,70.94,175.88,864.27,1398.49,3568.36,19876.90,115.97,317.41,1682.97
chemist,blast_powder,projectile,71.00,410.67,691.74,2838.78,15318.64,19941.83,151.90,1014.23,1696.89
chemist,acid_flask,projectile,23.13,210.25,646.56,464.36,2259.52,7900.68,62.37,515.89,1729.60
chemist,homunculus_vial,summon,35.22,69.93,161.97,476.53,2344.16,10051.31,52.10,258.43,914.03
knight,long_spear,melee,39.86,39.88,174.63,597.86,1262.18,3174.17,56.95,121.17,381.57
knight,tower_shield,melee,41.56,53.37,247.46,729.28,872.16,4626.67,170.92,214.70,1688.86
knight,holy_flail,melee,31.80,282.58,1484.45,401.64,2836.91,16434.38,42.04,369.75,1987.92
druid,summon_amulet,summon,80.59,95.60,178.11,1101.17,5574.52,18224.04,71.02,327.81,1115.43
druid,briar_staff,projectile,23.05,88.85,389.41,581.43,2202.37,9294.55,66.95,238.78,1085.52
druid,raven_totem,summon,50.67,192.08,445.55,350.69,1407.17,2663.64,223.73,775.09,1531.75
