class,weapon,archetype,lvl1_1t,lvl1_5t,lvl1_20t,lvl20_ideal_1t,lvl20_ideal_5t,lvl20_ideal_20t,lvl20_random_1t,lvl20_random_5t,lvl20_random_20t
guitarist,bass_guitar,aura,18.13,107.06,566.05,218.11,1317.14,6624.36,31.43,178.38,897.15
guitarist,sound_amp,summon,43.33,237.33,1067.47,248.34,1580.53,7439.69,87.47,471.03,2166.95
assassin,chakrams,beam,55.73,94.57,201.10,2708.80,2643.36,6365.35,149.30,148.92,504.09
assassin,shadow_daggers,melee,64.18,180.05,179.39,863.55,2575.06,2714.20,102.21,282.17,297.97
assassin,venom_wire,beam,52.22,53.80,54.26,1527.84,1303.67,1153.97,186.31,217.84,249.64
ranger,moon_crossbow,projectile,53.42,280.85,321.83,775.03,4171.42,4161.40,165.71,672.68,828.15
ranger,storm_longbow,projectile,63.15,56.98,200.53,1242.39,1187.29,5206.86,107.17,115.64,357.47
ranger,hunter_trap,aoe,28.00,60.61,229.22,329.05,1453.25,6485.84,59.93,120.83,476.21
doctor,restore_potion,projectile,51.42,120.74,418.37,653.97,1671.08,6729.70,125.93,344.13,1430.01
doctor,plague_syringe,projectile,44.73,44.55,44.63,823.92,824.11,825.92,99.38,99.38,91.00
doctor,bone_saw,melee,68.04,176.78,874.84,1824.77,3830.64,14370.49,116.13,298.14,1672.30
chemist,blast_powder,projectile,83.38,806.44,1561.10,1702.85,20492.75,31539.16,201.71,1867.11,4208.26
chemist,acid_flask,projectile,23.52,219.21,675.55,495.08,2325.34,8504.87,64.02,525.61,1742.86
chemist,homunculus_vial,summon,35.21,69.66,131.28,477.45,2118.88,9416.14,2.81,258.59,981.58
knight,long_spear,melee,40.02,39.88,180.45,597.62,1142.46,3900.57,56.99,137.14,405.90
knight,tower_shield,melee,41.64,49.61,251.67,865.34,874.77,4520.51,213.58,269.82,2100.07
knight,holy_flail,melee,31.81,288.49,1480.52,450.04,2761.51,17290.18,42.06,373.56,1974.85
druid,summon_amulet,summon,56.52,111.67,172.22,1246.44,6265.65,12589.29,59.89,249.92,838.05
druid,briar_staff,projectile,23.09,88.85,377.20,460.36,1743.25,8025.43,57.28,237.87,946.87
druid,raven_totem,summon,27.20,86.43,167.05,190.62,610.86,1166.40,108.51,348.65,681.84
