row_type,class,weapon,build,stats,dps_1,dps_5,dps_20,budget_score,relative_score,flag
"class","elementalist","","base_lvl1","strength 2.00; agility 4.00; intelligence 9.00; perception 7.00; energy 8.00; knowledge 6.00; endurance 3.00; leadership 5.00","51.84","178.19","164.55","0.971","1.007","ok"
"weapon","elementalist","elementalist_orb_ring","base_lvl1","","51.84","178.11","168.76","0.97","",""
"weapon","elementalist","elementalist_prism_focus","base_lvl1","","51.84","178.22","157.61","0.962","",""
"weapon","elementalist","elementalist_meteor_core","base_lvl1","","51.85","178.23","167.27","0.98","",""
"class","elementalist","","lvl20_optimum","strength 2.00; agility 17.00; intelligence 15.00; perception 7.00; energy 8.00; knowledge 6.00; endurance 3.00; leadership 5.00","264.26","905.49","833.73","4.933","0.938","ok"
"weapon","elementalist","elementalist_orb_ring","lvl20_optimum","","243.66","861.28","816.08","4.646","",""
"weapon","elementalist","elementalist_prism_focus","lvl20_optimum","","303.54","1033.67","914.13","5.595","",""
"weapon","elementalist","elementalist_meteor_core","lvl20_optimum","","245.57","821.51","770.98","4.558","",""
"class","elementalist","","lvl20_random_avg","strength 4.27; agility 6.28; intelligence 11.53; perception 8.95; energy 10.45; knowledge 8.83; endurance 5.16; leadership 7.53","99.01","339.43","313.3","1.85","0.986","ok"
"weapon","elementalist","elementalist_orb_ring","lvl20_random_avg","","97.93","337.79","320.06","1.837","",""
"weapon","elementalist","elementalist_prism_focus","lvl20_random_avg","","101.37","347.2","307.05","1.876","",""
"weapon","elementalist","elementalist_meteor_core","lvl20_random_avg","","97.71","333.29","312.79","1.837","",""
"class","sniper","","base_lvl1","strength 6.00; agility 8.00; intelligence 2.00; perception 10.00; energy 3.00; knowledge 3.00; endurance 7.00; leadership 1.00","55.21","120.04","105.44","0.96","0.996","ok"
"weapon","sniper","sniper_deadeye_rifle","base_lvl1","","55.23","120.04","99.66","0.944","",""
"weapon","sniper","sniper_spotter_scope","base_lvl1","","55.19","120.01","108.3","0.967","",""
"weapon","sniper","sniper_shatter_rounds","base_lvl1","","55.2","120.07","108.35","0.968","",""
"class","sniper","","lvl20_optimum","strength 15.00; agility 18.00; intelligence 2.00; perception 10.00; energy 3.00; knowledge 3.00; endurance 7.00; leadership 1.00","314.25","679.81","597.07","5.445","1.036","ok"
"weapon","sniper","sniper_deadeye_rifle","lvl20_optimum","","315.98","680.92","565.31","5.37","",""
"weapon","sniper","sniper_spotter_scope","lvl20_optimum","","312.78","678.17","611.98","5.473","",""
"weapon","sniper","sniper_shatter_rounds","lvl20_optimum","","313.99","680.33","613.93","5.491","",""
"class","sniper","","lvl20_random_avg","strength 8.17; agility 10.59; intelligence 4.64; perception 12.41; energy 5.11; knowledge 5.47; endurance 9.28; leadership 3.33","102.87","223.2","196.05","1.786","0.952","ok"
"weapon","sniper","sniper_deadeye_rifle","lvl20_random_avg","","103.09","223.27","185.36","1.758","",""
"weapon","sniper","sniper_spotter_scope","lvl20_random_avg","","102.69","223.02","201.26","1.799","",""
"weapon","sniper","sniper_shatter_rounds","lvl20_random_avg","","102.83","223.32","201.52","1.801","",""
"class","priest","","base_lvl1","strength 2.00; agility 4.00; intelligence 8.00; perception 6.00; energy 7.00; knowledge 9.00; endurance 5.00; leadership 6.00","45.49","144.85","135.07","0.969","1.005","ok"
"weapon","priest","priest_reliquary","base_lvl1","","45.47","144.86","137.26","0.97","",""
"weapon","priest","priest_censer","base_lvl1","","45.51","144.84","137.24","0.97","",""
"weapon","priest","priest_chime","base_lvl1","","45.48","144.86","130.72","0.967","",""
"class","priest","","lvl20_optimum","strength 2.00; agility 16.00; intelligence 15.00; perception 6.00; energy 7.00; knowledge 9.00; endurance 5.00; leadership 6.00","268.61","850.85","793.43","5.703","1.085","ok"
"weapon","priest","priest_reliquary","lvl20_optimum","","268.03","850.46","805.83","5.703","",""
"weapon","priest","priest_censer","lvl20_optimum","","269.61","853.08","808.31","5.726","",""
"weapon","priest","priest_chime","lvl20_optimum","","268.2","849.02","766.16","5.681","",""
"class","priest","","lvl20_random_avg","strength 4.61; agility 6.50; intelligence 10.28; perception 8.38; energy 9.36; knowledge 11.42; endurance 7.11; leadership 8.34","88.94","282.54","263.46","1.892","1.008","ok"
"weapon","priest","priest_reliquary","lvl20_random_avg","","88.83","282.48","267.66","1.893","",""
"weapon","priest","priest_censer","lvl20_random_avg","","89.11","282.86","268.01","1.897","",""
"weapon","priest","priest_chime","lvl20_random_avg","","88.87","282.27","254.72","1.887","",""
"class","biologist","","base_lvl1","strength 2.00; agility 5.00; intelligence 8.00; perception 7.00; energy 6.00; knowledge 10.00; endurance 4.00; leadership 4.00","47.68","191.16","180.67","0.973","1.009","ok"
"weapon","biologist","biologist_spore_lens","base_lvl1","","47.67","191.16","188.37","0.982","",""
"weapon","biologist","biologist_sample_injector","base_lvl1","","47.7","191.14","172.48","0.967","",""
"weapon","biologist","biologist_symbiote_seed","base_lvl1","","47.68","191.19","181.16","0.97","",""
"class","biologist","","lvl20_optimum","strength 2.00; agility 18.00; intelligence 14.00; perception 7.00; energy 6.00; knowledge 10.00; endurance 4.00; leadership 4.00","252.23","1044.24","984.3","5.257","1.0","ok"
"weapon","biologist","biologist_spore_lens","lvl20_optimum","","201.49","918.12","904.73","4.526","",""
"weapon","biologist","biologist_sample_injector","lvl20_optimum","","279.17","1112.84","1004.23","5.643","",""
"weapon","biologist","biologist_symbiote_seed","lvl20_optimum","","276.03","1101.76","1043.94","5.601","",""
"class","biologist","","lvl20_random_avg","strength 4.36; agility 7.53; intelligence 10.00; perception 9.23; energy 8.16; knowledge 12.33; endurance 6.44; leadership 6.95","87.23","351.79","332.29","1.787","0.952","ok"
"weapon","biologist","biologist_spore_lens","lvl20_random_avg","","83.58","342.86","337.86","1.749","",""
"weapon","biologist","biologist_sample_injector","lvl20_random_avg","","89.22","356.76","321.94","1.807","",""
"weapon","biologist","biologist_symbiote_seed","lvl20_random_avg","","88.88","355.74","337.07","1.807","",""
"class","robot","","base_lvl1","strength 8.00; agility 3.00; intelligence 5.00; perception 5.00; energy 7.00; knowledge 4.00; endurance 10.00; leadership 4.00","45.22","138.66","126.37","0.967","1.003","ok"
"weapon","robot","robot_magnetic_anchor","base_lvl1","","45.21","138.67","131.39","0.971","",""
"weapon","robot","robot_hydraulic_press","base_lvl1","","45.22","138.68","122.64","0.962","",""
"weapon","robot","robot_reactor_core","base_lvl1","","45.22","138.62","125.09","0.968","",""
"class","robot","","lvl20_optimum","strength 14.00; agility 16.00; intelligence 5.00; perception 5.00; energy 7.00; knowledge 4.00; endurance 10.00; leadership 4.00","268.55","822.84","749.96","5.739","1.092","ok"
"weapon","robot","robot_magnetic_anchor","lvl20_optimum","","268.49","822.89","779.7","5.762","",""
"weapon","robot","robot_hydraulic_press","lvl20_optimum","","268.47","822.09","727.02","5.705","",""
"weapon","robot","robot_reactor_core","lvl20_optimum","","268.68","823.53","743.15","5.749","",""
"class","robot","","lvl20_random_avg","strength 10.67; agility 5.38; intelligence 7.22; perception 7.23; energy 9.31; knowledge 6.52; endurance 12.25; leadership 6.42","90.71","278.07","253.44","1.939","1.033","ok"
"weapon","robot","robot_magnetic_anchor","lvl20_random_avg","","90.7","278.1","263.51","1.947","",""
"weapon","robot","robot_hydraulic_press","lvl20_random_avg","","90.7","277.98","245.84","1.929","",""
"weapon","robot","robot_reactor_core","lvl20_random_avg","","90.73","278.13","250.99","1.942","",""
"class","engineer","","base_lvl1","strength 4.00; agility 5.00; intelligence 7.00; perception 6.00; energy 6.00; knowledge 6.00; endurance 5.00; leadership 10.00","45.17","161.32","146.16","0.958","0.994","ok"
"weapon","engineer","engineer_sentry_wrench","base_lvl1","","45.19","161.32","139.75","0.945","",""
"weapon","engineer","engineer_repair_drone","base_lvl1","","45.16","161.34","139.77","0.945","",""
"weapon","engineer","engineer_pressure_mines","base_lvl1","","45.17","161.31","158.96","0.983","",""
"class","engineer","","lvl20_optimum","strength 17.00; agility 11.00; intelligence 7.00; perception 6.00; energy 6.00; knowledge 6.00; endurance 5.00; leadership 10.00","221.3","789.76","719.97","4.697","0.893","ok"
"weapon","engineer","engineer_sentry_wrench","lvl20_optimum","","157.19","560.86","485.88","3.285","",""
"weapon","engineer","engineer_repair_drone","lvl20_optimum","","254.22","906.79","785.56","5.312","",""
"weapon","engineer","engineer_pressure_mines","lvl20_optimum","","252.5","901.62","888.48","5.493","",""
"class","engineer","","lvl20_random_avg","strength 6.38; agility 7.53; intelligence 9.50; perception 8.22; energy 8.17; knowledge 8.30; endurance 7.38; leadership 12.53","91.77","327.58","296.41","1.944","1.036","ok"
"weapon","engineer","engineer_sentry_wrench","lvl20_random_avg","","83.32","297.35","257.6","1.742","",""
"weapon","engineer","engineer_repair_drone","lvl20_random_avg","","102.99","367.61","318.47","2.153","",""
"weapon","engineer","engineer_pressure_mines","lvl20_random_avg","","89.0","317.79","313.15","1.936","",""
"class","dark_mage","","base_lvl1","strength 2.00; agility 3.00; intelligence 10.00; perception 5.00; energy 7.00; knowledge 6.00; endurance 3.00; leadership 5.00","46.37","224.22","208.41","0.972","1.008","ok"
"weapon","dark_mage","dark_book","base_lvl1","","46.37","224.24","210.45","0.979","",""
"weapon","dark_mage","cursed_skull","base_lvl1","","46.38","224.23","212.46","0.97","",""
"weapon","dark_mage","dark_wand","base_lvl1","","46.37","224.2","202.32","0.967","",""
"class","dark_mage","","lvl20_optimum","strength 2.00; agility 18.00; intelligence 14.00; perception 5.00; energy 7.00; knowledge 6.00; endurance 3.00; leadership 5.00","230.51","1111.34","1031.4","4.825","0.918","ok"
"weapon","dark_mage","dark_book","lvl20_optimum","","248.38","1195.5","1121.97","5.23","",""
"weapon","dark_mage","cursed_skull","lvl20_optimum","","194.94","940.11","890.77","4.072","",""
"weapon","dark_mage","dark_wand","lvl20_optimum","","248.22","1198.42","1081.45","5.173","",""
"class","dark_mage","","lvl20_random_avg","strength 4.36; agility 5.39; intelligence 12.09; perception 7.31; energy 9.14; knowledge 8.77; endurance 5.56; leadership 7.38","89.18","430.61","400.55","1.868","0.995","ok"
"weapon","dark_mage","dark_book","lvl20_random_avg","","85.61","413.14","387.73","1.806","",""
"weapon","dark_mage","cursed_skull","lvl20_random_avg","","96.36","465.15","440.74","2.014","",""
"weapon","dark_mage","dark_wand","lvl20_random_avg","","85.58","413.55","373.18","1.785","",""
"class","guitarist","","base_lvl1","strength 4.00; agility 6.00; intelligence 4.00; perception 7.00; energy 6.00; knowledge 5.00; endurance 4.00; leadership 7.00","48.01","195.04","179.53","0.962","0.998","ok"
"weapon","guitarist","electric_guitar","base_lvl1","","48.0","195.07","184.83","0.971","",""
"weapon","guitarist","bass_guitar","base_lvl1","","48.0","195.02","184.79","0.97","",""
"weapon","guitarist","sound_amp","base_lvl1","","48.03","195.04","168.96","0.945","",""
"class","guitarist","","lvl20_optimum","strength 4.00; agility 13.00; intelligence 16.00; perception 7.00; energy 6.00; knowledge 5.00; endurance 4.00; leadership 7.00","335.86","1406.72","1303.81","6.88","1.309","HIGH"
"weapon","guitarist","electric_guitar","lvl20_optimum","","387.17","1572.36","1489.84","7.825","",""
"weapon","guitarist","bass_guitar","lvl20_optimum","","387.26","1573.66","1491.07","7.83","",""
"weapon","guitarist","sound_amp","lvl20_optimum","","233.14","1074.14","930.53","4.985","",""
"class","guitarist","","lvl20_random_avg","strength 6.16; agility 8.61; intelligence 6.16; perception 9.80; energy 7.94; knowledge 7.47; endurance 6.66; leadership 9.22","108.7","441.38","406.3","2.177","1.16","HIGH"
"weapon","guitarist","electric_guitar","lvl20_random_avg","","108.77","441.93","418.73","2.199","",""
"weapon","guitarist","bass_guitar","lvl20_random_avg","","108.78","442.01","418.81","2.199","",""
"weapon","guitarist","sound_amp","lvl20_random_avg","","108.54","440.22","381.36","2.133","",""
"class","assassin","","base_lvl1","strength 6.00; agility 10.00; intelligence 2.00; perception 6.00; energy 3.00; knowledge 4.00; endurance 5.00; leadership 4.00","71.75","120.8","106.83","0.962","0.998","ok"
"weapon","assassin","chakrams","base_lvl1","","71.72","120.77","106.8","0.961","",""
"weapon","assassin","shadow_daggers","base_lvl1","","71.75","120.69","106.73","0.961","",""
"weapon","assassin","venom_wire","base_lvl1","","71.79","120.94","106.95","0.963","",""
"class","assassin","","lvl20_optimum","strength 24.00; agility 11.00; intelligence 2.00; perception 6.00; energy 3.00; knowledge 4.00; endurance 5.00; leadership 4.00","351.12","590.98","522.63","4.705","0.895","ok"
"weapon","assassin","chakrams","lvl20_optimum","","494.65","832.73","736.43","6.629","",""
"weapon","assassin","shadow_daggers","lvl20_optimum","","440.55","741.11","655.4","5.902","",""
"weapon","assassin","venom_wire","lvl20_optimum","","118.15","199.09","176.07","1.584","",""
"class","assassin","","lvl20_random_avg","strength 8.66; agility 12.27; intelligence 4.16; perception 8.19; energy 5.19; knowledge 6.38; endurance 7.55; leadership 6.63","132.54","223.11","197.31","1.776","0.946","ok"
"weapon","assassin","chakrams","lvl20_random_avg","","146.12","245.98","217.54","1.958","",""
"weapon","assassin","shadow_daggers","lvl20_random_avg","","131.31","220.89","195.35","1.759","",""
"weapon","assassin","venom_wire","lvl20_random_avg","","120.18","202.47","179.05","1.611","",""
"class","ranger","","base_lvl1","strength 7.00; agility 7.00; intelligence 2.00; perception 9.00; energy 4.00; knowledge 4.00; endurance 4.00; leadership 3.00","71.75","120.77","109.34","0.964","1.0","ok"
"weapon","ranger","moon_crossbow","base_lvl1","","71.77","120.73","106.77","0.961","",""
"weapon","ranger","storm_longbow","base_lvl1","","71.74","120.79","106.82","0.962","",""
"weapon","ranger","hunter_trap","base_lvl1","","71.74","120.78","114.44","0.97","",""
"class","ranger","","lvl20_optimum","strength 16.00; agility 17.00; intelligence 2.00; perception 9.00; energy 4.00; knowledge 4.00; endurance 4.00; leadership 3.00","392.49","655.45","593.45","5.249","0.998","ok"
"weapon","ranger","moon_crossbow","lvl20_optimum","","392.77","650.32","575.11","5.207","",""
"weapon","ranger","storm_longbow","lvl20_optimum","","393.27","660.65","584.25","5.263","",""
"weapon","ranger","hunter_trap","lvl20_optimum","","391.44","655.37","620.98","5.276","",""
"class","ranger","","lvl20_random_avg","strength 9.67; agility 9.34; intelligence 4.30; perception 11.42; energy 6.42; knowledge 6.22; endurance 6.45; leadership 5.17","137.11","230.07","208.31","1.839","0.98","ok"
"weapon","ranger","moon_crossbow","lvl20_random_avg","","137.17","229.31","202.79","1.83","",""
"weapon","ranger","storm_longbow","lvl20_random_avg","","137.21","230.82","204.12","1.838","",""
"weapon","ranger","hunter_trap","lvl20_random_avg","","136.95","230.08","218.0","1.85","",""
"class","doctor","","base_lvl1","strength 2.00; agility 4.00; intelligence 8.00; perception 5.00; energy 6.00; knowledge 8.00; endurance 5.00; leadership 2.00","40.79","127.48","107.27","0.947","0.982","ok"
"weapon","doctor","restore_potion","base_lvl1","","40.8","127.48","104.53","0.94","",""
"weapon","doctor","plague_syringe","base_lvl1","","40.79","127.51","104.56","0.94","",""
"weapon","doctor","bone_saw","base_lvl1","","40.78","127.46","112.72","0.961","",""
"class","doctor","","lvl20_optimum","strength 2.00; agility 14.00; intelligence 17.00; perception 5.00; energy 6.00; knowledge 8.00; endurance 5.00; leadership 2.00","205.39","640.85","531.19","4.742","0.902","ok"
"weapon","doctor","restore_potion","lvl20_optimum","","398.92","1229.67","1008.33","9.11","",""
"weapon","doctor","plague_syringe","lvl20_optimum","","132.4","427.55","350.59","3.116","",""
"weapon","doctor","bone_saw","lvl20_optimum","","84.84","265.34","234.65","2.0","",""
"class","doctor","","lvl20_random_avg","strength 4.36; agility 6.33; intelligence 10.48; perception 7.11; energy 8.33; knowledge 10.41; endurance 7.45; leadership 4.53","85.06","265.58","222.99","1.972","1.051","ok"
"weapon","doctor","restore_potion","lvl20_random_avg","","100.89","313.2","256.82","2.315","",""
"weapon","doctor","plague_syringe","lvl20_random_avg","","76.4","240.15","196.93","1.767","",""
"weapon","doctor","bone_saw","lvl20_random_avg","","77.88","243.38","215.23","1.835","",""
"class","chemist","","base_lvl1","strength 2.00; agility 4.00; intelligence 9.00; perception 6.00; energy 7.00; knowledge 7.00; endurance 3.00; leadership 2.00","46.36","224.28","205.08","0.967","1.003","ok"
"weapon","chemist","blast_powder","base_lvl1","","46.35","224.3","210.5","0.979","",""
"weapon","chemist","acid_flask","base_lvl1","","46.38","224.21","210.42","0.979","",""
"weapon","chemist","homunculus_vial","base_lvl1","","46.36","224.32","194.33","0.944","",""
"class","chemist","","lvl20_optimum","strength 17.00; agility 8.00; intelligence 9.00; perception 6.00; energy 7.00; knowledge 7.00; endurance 3.00; leadership 2.00","325.71","1569.54","1467.61","6.852","1.303","HIGH"
"weapon","chemist","blast_powder","lvl20_optimum","","869.72","4191.78","3933.97","18.33","",""
"weapon","chemist","acid_flask","lvl20_optimum","","61.03","292.2","274.23","1.281","",""
"weapon","chemist","homunculus_vial","lvl20_optimum","","46.39","224.65","194.62","0.946","",""
"class","chemist","","lvl20_random_avg","strength 4.20; agility 6.34; intelligence 11.50; perception 8.48; energy 9.72; knowledge 9.11; endurance 5.13; leadership 4.52","115.02","553.82","507.7","2.396","1.277","HIGH"
"weapon","chemist","blast_powder","lvl20_random_avg","","169.22","816.78","766.54","3.57","",""
"weapon","chemist","acid_flask","lvl20_random_avg","","71.95","343.6","322.46","1.507","",""
"weapon","chemist","homunculus_vial","lvl20_random_avg","","103.88","501.09","434.09","2.112","",""
"class","knight","","base_lvl1","strength 8.00; agility 3.00; intelligence 2.00; perception 4.00; energy 3.00; knowledge 4.00; endurance 10.00; leadership 6.00","42.82","127.52","112.78","0.961","0.997","ok"
"weapon","knight","long_spear","base_lvl1","","42.82","127.47","112.73","0.961","",""
"weapon","knight","tower_shield","base_lvl1","","42.82","127.53","112.78","0.961","",""
"weapon","knight","holy_flail","base_lvl1","","42.83","127.57","112.82","0.962","",""
"class","knight","","lvl20_optimum","strength 14.00; agility 16.00; intelligence 2.00; perception 4.00; energy 3.00; knowledge 4.00; endurance 10.00; leadership 6.00","256.06","761.07","673.06","5.742","1.092","ok"
"weapon","knight","long_spear","lvl20_optimum","","256.07","757.12","669.56","5.722","",""
"weapon","knight","tower_shield","lvl20_optimum","","256.37","762.11","673.97","5.749","",""
"weapon","knight","holy_flail","lvl20_optimum","","255.75","763.99","675.64","5.754","",""
"class","knight","","lvl20_random_avg","strength 10.42; agility 5.19; intelligence 4.56; perception 6.36; energy 5.64; knowledge 6.31; endurance 12.33; leadership 8.19","85.17","253.4","224.1","1.911","1.018","ok"
"weapon","knight","long_spear","lvl20_random_avg","","85.17","252.75","223.52","1.908","",""
"weapon","knight","tower_shield","lvl20_random_avg","","85.22","253.57","224.24","1.912","",""
"weapon","knight","holy_flail","lvl20_random_avg","","85.13","253.89","224.53","1.913","",""
"class","druid","","base_lvl1","strength 3.00; agility 4.00; intelligence 4.00; perception 7.00; energy 6.00; knowledge 5.00; endurance 5.00; leadership 9.00","47.97","149.93","133.5","0.955","0.991","ok"
"weapon","druid","summon_amulet","base_lvl1","","47.96","149.84","129.81","0.943","",""
"weapon","druid","briar_staff","base_lvl1","","47.99","149.98","140.76","0.979","",""
"weapon","druid","raven_totem","base_lvl1","","47.97","149.97","129.92","0.944","",""
"class","druid","","lvl20_optimum","strength 3.00; agility 4.00; intelligence 22.00; perception 7.00; energy 6.00; knowledge 5.00; endurance 5.00; leadership 10.00","310.47","936.72","823.63","6.011","1.143","ok"
"weapon","druid","summon_amulet","lvl20_optimum","","374.12","1168.75","1012.49","7.359","",""
"weapon","druid","briar_staff","lvl20_optimum","","164.52","504.75","473.71","3.317","",""
"weapon","druid","raven_totem","lvl20_optimum","","392.76","1136.67","984.7","7.357","",""
"class","druid","","lvl20_random_avg","strength 5.22; agility 6.05; intelligence 6.42; perception 9.56; energy 8.77; knowledge 7.33; endurance 7.33; leadership 11.33","109.49","344.14","304.86","2.184","1.164","HIGH"
"weapon","druid","summon_amulet","lvl20_random_avg","","111.51","348.36","301.78","2.193","",""
"weapon","druid","briar_staff","lvl20_random_avg","","90.49","279.82","262.61","1.834","",""
"weapon","druid","raven_totem","lvl20_random_avg","","126.49","404.24","350.19","2.525","",""
